U,V
4132,6450
4138,6450
4146,6435
4155,6435
4166,6450
4178,6421
4192,6406
4207,6435
4223,6421
4240,6421
4257,6435
4276,6435
4294,6406
4314,6421
4333,6435
4352,6421
4371,6406
4389,6435
4406,6421
4423,6421
4438,6421
4452,6435
4464,6435
4475,6406
4483,6435
4490,6435
4494,6421
4496,6406
4495,6435
4492,6406
4486,6435
4478,6435
4466,6406
4453,6406
4436,6421
4417,6435
4395,6435
4371,6421
4345,6435
4317,6435
4286,6406
4254,6392
4220,6406
4185,6441
4148,6391
4111,5043
4073,6406
4034,6406
3996,6406
3957,6406
3919,6406
3881,6406
3844,6391
3808,6392
3774,6334
3741,6263
3710,6153
3680,6061
3653,5996
3628,5945
3606,5846
3586,5786
3568,5727
3554,5670
3541,5613
3532,5547
3525,5525
3521,5482
3520,5471
3521,5450
3525,5439
3530,5439
3538,5439
3548,5450
3560,5471
3574,5482
3588,5536
3604,5558
3621,5569
3639,5613
3657,5693
3675,5739
3693,5763
3711,5822
3728,5883
3745,5920
3760,5996
3775,6022
3788,6087
3799,6113
3809,6153
3816,6180
3822,6208
3825,6236
3827,6277
3826,6291
3822,6306
3817,6277
3808,6305
3798,6263
3785,6222
3771,6208
3754,6180
3735,6153
3714,6127
3692,6036
3668,5996
3642,5996
3616,5896
3588,5822
3560,5739
3531,5692
3502,5569
3473,5492
3444,4351
3416,5356
3388,5237
3361,5170
3334,5094
3309,5004
3285,4925
3263,4857
3242,4774
3223,4732
3206,4633
3191,4572
3177,4506
3166,4570
3156,4429
3149,4431
3143,4448
3139,4320
3137,4399
3137,3504
3139,4365
3142,4248
3146,4350
3151,4254
3157,4343
3164,4273
3172,4384
3180,4313
3188,4425
3197,4353
3205,4380
3212,4518
3219,4436
3225,4457
3230,4569
3234,4492
3236,4513
3237,4542
3236,4651
3234,4550
3229,4550
3223,3038
3215,3723
3204,4521
3192,4492
3177,4600
3161,4450
3142,4401
3122,4461
3100,4306
3076,4371
3051,4191
3025,4240
2997,4064
2969,4109
2940,4032
2910,3976
2880,3810
2850,3835
2821,3767
2791,3708
2763,3645
2736,3581
2710,2974
2685,3470
2662,3398
2641,3326
2622,3290
2606,3216
2592,3175
2581,3112
2572,3068
2567,3016
2564,2970
2565,2924
2569,2900
2576,2867
2586,2842
2599,2824
2615,2818
2635,2815
2657,2824
2682,2832
2710,2865
2740,2891
2772,2924
2807,2985
2843,3044
2881,3128
2921,3201
2961,3320
3003,3447
3045,3592
3088,3720
3130,3869
3173,3996
3215,4088
3256,4308
3297,4374
3336,4535
3374,4687
3411,4877
3446,4960
3479,5031
3510,5160
3539,5246
3566,5367
3591,5450
3613,5536
3633,5602
3650,5669
3666,4568
3679,5751
3689,5810
3698,5871
3705,5883
3710,5908
3713,5937
3714,5996
3714,5983
3713,5996
3711,5996
3708,5996
3704,5983
3700,5971
3696,5971
3692,5958
3688,5946
3684,5945
3681,5908
3678,5920
3677,5920
3676,5883
3677,5883
3679,5883
3682,5871
3687,5871
3694,5883
3702,5908
3711,5920
3722,5933
3735,5983
3749,6009
3765,6061
3782,6074
3800,6140
3819,6153
3839,6222
3860,6277
3882,6291
