U,V
4059,114
4082,110
4102,830
4119,2621
4134,4070
4147,5319
4157,6236
4166,6450
4172,6495
4176,6510
4178,6495
4179,6480
4178,6480
4176,6441
4173,6495
4169,6495
4164,6480
4159,6495
4154,6480
4148,6450
4142,6480
4137,6450
4132,6465
4128,6441
4125,6435
4123,6465
4122,6450
4122,6435
4123,6450
4126,6435
4130,6435
4136,6435
4143,6435
4152,6450
4162,6421
4174,6421
4187,6435
4202,6406
4217,6406
4234,6421
4251,6421
4269,6406
4288,6391
4307,6406
4326,6421
4345,5045
4364,6421
4383,6450
4400,6391
4417,6435
4433,6435
4447,6391
4460,6435
4471,6391
4481,6421
4488,6421
4493,6392
4495,6391
4496,6406
4493,6391
4488,6391
4481,6406
4471,6391
4458,6391
4442,6391
4424,6406
4403,6377
4380,6391
4355,6377
4327,6406
4297,6377
4265,6406
4232,6391
4197,6406
4161,6377
4124,6391
4086,6392
4048,6377
4009,6392
3970,6392
3932,6377
3894,6391
3857,6377
3821,6334
3786,6263
3752,6194
3720,4848
3690,5996
3662,5908
3637,5822
3613,5775
3592,5693
3574,5624
3558,5558
3545,5525
3535,5482
3527,5450
3522,5429
3520,5418
3520,5398
3523,5397
3528,5397
3535,5408
3545,5408
3556,5439
3569,5492
3583,5514
3599,5558
3615,5580
3633,5613
3650,5669
3669,5727
3687,5775
3705,5834
3722,4671
3739,5945
3755,5983
3770,6048
3783,6074
3795,6113
3805,6153
3814,6167
3820,6180
3824,6236
3826,6277
3826,6263
3824,6291
3819,6291
3812,6263
3802,6222
3790,6209
3776,6167
3760,6140
3742,6100
3721,6035
3699,5996
3676,5958
3651,5871
3625,5798
3598,5739
3570,5658
3541,5580
3512,5482
3483,5398
3454,5346
3426,5237
3397,5160
3370,5067
3343,4977
3318,4890
3293,4815
3271,4734
3249,4671
3230,4595
3212,4535
3196,4457
3182,4415
3169,4373
3159,4333
3151,4293
3145,4267
3140,4235
3138,4231
3137,4216
3138,4216
3140,4204
3144,4204
3149,4210
3155,4222
3162,4242
3169,4261
3177,4286
3186,4313
3194,4333
3202,4353
3210,4380
3217,4415
3223,4436
3228,4450
3233,4485
3236,4506
3237,4506
3237,4521
3235,3679
3231,4521
3225,4506
3218,4499
3208,4471
3196,4450
3182,4436
3166,4373
3149,4333
3129,4280
3108,4228
3085,4166
3060,4111
3034,4052
3007,3977
2979,3895
2950,3831
2920,3770
2890,3710
2860,3633
2831,3568
2801,3498
2773,3438
2745,3384
2718,3304
2693,3247
2670,3180
2648,3110
2628,3053
2611,2994
2596,2944
2584,2902
2575,2846
2568,2803
2565,2770
2564,2738
2567,2719
2573,2693
2582,2688
2594,2688
2609,2698
2628,2717
2649,2743
2673,2726
2700,2820
2729,2881
2761,2947
2795,3023
2831,3100
2868,3192
2907,3289
2947,3392
2989,3511
3030,3642
3073,3765
3116,3911
3158,4040
3200,4185
3242,4320
3283,2285
3323,4610
3361,4750
3399,4873
3434,4986
3468,5095
3500,5227
3529,5316
3557,5408
3582,5482
3605,5558
3626,5602
3645,5669
3661,5727
3674,5798
3686,5810
3695,5859
3703,5908
3708,5896
3712,5933
3714,5958
3714,5958
3714,5958
3712,5945
3709,5946
3706,5958
3702,5946
3697,5946
3693,5908
3689,5896
3685,5908
3682,5871
3679,5883
3677,5859
3676,5859
3676,5859
3678,5846
3681,4646
3685,5859
3691,5871
3699,5871
3708,5908
3718,5920
3730,5945
3744,5983
3759,6009
3776,6048
3794,6087
3813,6140
3832,6194
3853,6222
3875,6277
3896,6334
3919,6377
3941,6362
3963,6391
3985,6362
4006,6377
4027,6391
4046,6406
4064,6348
4081,6362
4097,6377
4110,6341
4122,6377
4131,6362
4138,6348
4143,6362
4146,6334
4146,6362
4143,6363
4138,6377
4130,6348
4119,6348
4106,6348
4090,6362
4072,6348
4052,6377
4029,6348
4005,6362
3978,6362
3950,6348
3920,6377
3889,6363
3857,6362
3824,6291
3791,6263
3757,6180
3723,6100
3689,5996
3656,5920
3624,5822
3592,5716
3562,4482
3533,5547
3506,5439
3480,5366
3457,5286
3435,5227
3417,5150
3400,5094
3386,5033
3375,5022
3367,4977
3361,4925
3358,4899
3357,4882
3360,4882
3365,4882
3372,4899
3382,4925
3394,4951
3408,4977
3425,5013
3443,5085
3462,5122
3483,5179
3505,5256
3528,5316
3551,5367
3575,5439
3599,5503
3623,5569
3647,5635
3669,5692
3691,5763
3712,5822
3732,5896
3751,5945
3767,6009
3782,6061
3795,6100
3806,6140
3814,6140
3821,6153
3825,6236
3827,6236
3826,6236
3823,6263
3818,6250
3810,6208
3801,6167
3789,6153
3775,6153
3760,6113
3742,6074
3724,4766
3704,5971
3683,5920
3661,5871
3638,5798
3615,5716
3592,5681
3569,5602
3546,5525
3523,5471
3501,5408
3479,5336
3459,5276
3440,5217
3422,5169
3406,5103
3391,5049
3378,5004
3367,4960
3358,4925
3351,4891
3345,4865
3342,4848
3340,4832
3340,4832
3343,4815
3347,4815
3352,4840
3359,4848
3368,4865
3378,4899
3388,4925
3400,4942
3412,4995
3425,5031
3438,5067
3451,5103
3464,5151
3477,5198
3489,5227
3501,5266
3511,5296
3520,4274
3528,5366
3535,5377
3539,5408
3543,5439
3544,5429
3543,5435
3540,5450
3536,5439
3529,5408
3520,5398
3509,5377
3496,5346
3480,5326
3464,5276
3445,5246
3425,5169
3403,5132
3380,5058
3356,4986
3331,4908
3305,4840
3279,4758
3252,4671
3226,4587
3199,4506
3174,4436
3149,4366
3125,4286
3102,4216
3081,4154
3062,4076
3045,4011
3029,3972
3016,3916
3006,3868
2998,3831
2993,3795
2991,3780
2992,3765
2996,3760
3004,3760
3014,3775
3027,3790
3044,3830
3063,4124
3085,4443
3110,4216
3138,4141
3168,4166
3201,4229
3236,4340
3272,4432
3311,4550
3351,4679
3392,4782
3434,4951
3477,5058
3520,5179
3564,4274
3608,5460
3651,5569
3694,5681
3736,5810
3776,5945
3816,6074
3854,6167
3891,6222
3925,6334
3958,6363
3989,6362
4017,6348
4044,6362
4067,6348
4089,6348
4108,6348
4125,6377
4139,6348
4151,6362
4160,6362
4168,6334
4173,6362
4177,6348
4179,6362
4179,6348
4178,6362
4175,6334
4172,6362
4168,6334
4163,6348
4157,6348
4152,6348
4146,6362
4140,6334
4135,6348
4131,6319
4127,6348
4124,6319
4122,6319
4121,6362
4122,6305
4124,6362
