U,V
4495,14
4492,14
4486,14
4478,14
4466,14
4453,14
4436,14
4417,2149
4395,2149
4371,2149
4345,14
4317,14
4286,14
4254,14
4220,14
4185,14
4148,14
4111,14
4073,14
4034,14
3996,14
3957,14
3919,14
3881,14
3844,2149
3808,2149
3774,14
3741,14
3710,14
3680,14
3653,14
3628,14
3606,14
3586,14
3568,14
3554,14
3541,14
3532,14
3525,14
3521,14
3520,14
3521,14
3525,2726
3530,2726
3538,2726
3548,2726
3560,2726
3574,2726
3588,2726
3604,2726
3621,5242
3639,5242
3657,5242
3675,5242
3693,5265
3711,5265
3728,5265
3745,5265
3760,8733
3775,8733
3788,8733
3799,8733
3809,8733
3816,6217
3822,6217
3825,6217
3827,6217
3826,6217
3822,6217
3817,6238
3808,5442
3798,1974
3785,14
3771,14
3754,14
3735,14
3714,14
3692,14
3668,14
3642,14
3616,14
3588,14
3560,14
3531,14
3502,14
3473,14
3444,14
3416,14
3388,33
3361,3443
3334,3443
3309,3443
3285,3443
3263,6728
3242,6728
3223,6728
3206,5626
3191,5626
3177,5626
3166,5626
3156,5591
3149,5591
3143,6180
3139,6180
3137,6180
3137,6180
3139,5292
3142,5292
3146,2376
3151,2376
3157,4483
3164,4483
3172,2131
3180,2120
3188,4081
3197,4081
3205,1974
3212,1974
3219,3863
3225,3863
3230,1903
3234,1903
3236,3815
3237,3815
3236,1926
3234,1926
3229,3887
3223,3887
3215,1974
3204,1974
3192,1974
3177,3973
3161,2012
3142,2012
3122,2012
3100,2012
3076,2012
3051,2012
3025,2012
2997,2012
2969,2012
2940,3773
2910,3773
2880,1774
2850,1774
2821,1774
2791,1774
2763,4774
2736,4774
2710,3014
2685,3014
2662,3014
2641,3014
2622,4784
2606,4784
2592,1784
2581,1784
2572,5214
2567,3443
2564,3443
2565,3443
2569,3014
2576,3014
2586,3014
2599,3014
2615,3014
2635,3014
2657,14
2682,2657
2710,2657
2740,2657
2772,2657
2807,2657
2843,2657
2881,14
2921,29
2961,2549
3003,2549
3045,2549
3088,2549
3130,2549
3173,14
3215,14
3256,14
3297,3165
3336,3165
3374,3133
3411,3165
3446,3165
3479,3165
3510,5190
3539,5190
3566,2038
3591,2038
3613,4049
3633,4049
3650,2025
3666,2025
3679,5084
3689,5084
3698,5084
3705,5238
3710,5238
3713,5238
3714,5238
3714,5238
3713,5238
3711,4489
3708,4489
3704,4489
3700,4489
3696,4489
3692,5036
3688,5036
3684,5036
3681,5036
3678,5036
3677,5036
3676,8036
3677,8036
3679,8036
3682,8036
3687,8036
3694,8036
3702,8036
3711,5726
3722,5726
3735,5726
3749,5726
3765,5726
3782,5726
3800,5726
3819,5799
3839,5799
3860,5799
3882,5799
3904,5799
3926,5799
3949,5799
3971,5799
3992,5799
4013,2799
4033,2799
4053,14
4070,14
4087,2106
4101,2106
4114,14
4125,14
4134,14
4140,14
4144,14
4146,14
4145,14
4141,14
4135,14
4126,14
4115,14
4101,14
4084,14
4066,14
4044,14
4021,14
3996,14
3969,2135
3940,2135
3910,14
3878,14
3846,14
3813,14
3779,14
3745,14
3711,14
3678,36
3645,14
3613,14
3581,14
3552,14
3523,14
3497,14
3472,14
3449,14
3429,14
3411,14
3395,14
3382,14
3372,2431
3364,2431
3359,2431
3357,5787
3358,5787
3361,5787
3367,5787
3375,5787
3386,5596
3399,5596
3414,5596
3431,5596
3449,5596
3469,2241
3490,2241
3513,2241
3536,4043
3560,4043
3583,4043
3607,1815
3631,1815
3654,1836
3677,4108
3699,4108
3719,4108
3739,5222
3756,5222
3773,5222
3787,5222
3799,5222
3809,5222
3817,5222
3822,5222
3826,5529
3827,5529
3825,5529
3821,5529
3815,5529
3807,5529
3797,5529
3784,5529
3770,5529
3754,5529
3736,2613
3717,2613
3697,14
3675,14
3653,14
3630,14
3607,14
3584,14
3561,14
3538,14
3515,14
3493,14
3472,14
3452,14
3434,14
3416,2680
3401,2680
3387,2680
3374,2680
3364,5155
3355,5155
3348,5155
3344,5155
3341,5155
3340,5155
3341,5155
3344,4554
3348,4554
3354,4554
3362,2078
3371,2078
3381,5470
3392,5470
3404,6690
3417,6690
3430,6690
3443,6690
3456,6515
3469,6515
3481,6698
3493,6698
3504,6698
3514,6698
3523,6698
3531,5359
3536,5359
3541,5359
3543,5359
3544,1891
3542,1891
3539,1891
3533,4387
3526,4387
3516,4387
3504,5222
3491,5222
3475,5222
3457,5222
3438,5222
3417,5222
3395,5537
3372,5537
3347,5537
3322,5299
3296,5299
3269,5299
3243,5299
3217,5299
3190,4401
3165,4401
3141,4401
3117,1926
3095,1926
3074,4736
3056,4736
3039,4736
3025,2824
3013,2824
3003,5035
2996,5035
2992,2225
2991,2225
2993,4223
2999,4223
3007,2012
3018,2012
3032,3696
3050,3696
3070,1698
3094,1698
3120,1698
3148,1698
3179,4850
3213,4850
3248,3165
3285,3165
3324,3165
3365,3165
3406,6557
3449,6557
3492,6557
3535,6557
3579,6557
3623,6835
3666,6835
3708,6835
3750,6835
3790,6279
3829,6279
3867,6279
3903,6279
3937,6279
3969,2850
3999,2850
4027,2850
4052,2850
4075,5712
4096,5712
4114,5712
4130,5712
4143,5712
4154,5712
4163,5712
4170,2876
4175,2876
4178,14
4179,14
4179,14
4177,14
4174,14
4171,14
4166,14
4161,14
4155,2120
4150,2120
4144,2120
4139,14
4134,14
4129,14
4126,14
4123,14
4122,14
4122,14
4123,14
4125,14
4129,14
4134,14
4141,14
4149,14
4159,14
4170,14
4183,14
4197,2120
4212,2120
4228,14
4246,14
4263,14
4282,14
4301,14
4320,14
4339,14
4358,14
4377,14
4395,14
4412,14
4428,14
4443,14
4456,14
4468,14
4478,14
4486,2135
4491,2135
4495,14
4496,14
4494,14
4490,14
4484,14
4474,14
4462,14
4447,14
4430,14
4410,14
4387,14
4363,14
4336,14
4306,14
4275,14
4242,14
4208,2135
4172,2135
4136,14
4098,14
4060,14
4021,14
3982,14
3944,14
3906,14
3868,14
3832,14
3796,14
3762,14
3730,14
3699,14
3671,14
3644,14
3620,14
3599,14
3579,14
3563,2051
3549,2051
3538,2051
3529,14
3524,14
3521,14
3520,14
3522,14
3526,14
3533,2680
3542,2680
3552,2680
3565,2680
3578,5392
3594,5392
3610,5392
3627,5392
3645,7737
3663,7737
3681,5071
3699,5071
3717,5071
3734,5071
3750,5024
3765,5024
3779,5024
3792,5024
3802,5024
3811,5416
3818,5416
3823,5416
3826,5416
3827,5416
3825,5416
3821,5416
3814,5416
3805,5416
3794,5416
3781,5416
3765,5416
3747,5416
3728,5416
3706,5416
3683,2750
3659,14
3633,14
3606,14
3579,14
3550,14
3521,14
3492,14
3463,14
3435,14
3406,14
3378,14
3351,2469
3326,2469
3301,2469
3277,2469
3256,2469
3235,2469
3217,2469
3200,4868
3186,4868
3173,4868
3162,4868
3153,4868
3146,2413
3142,2413
3138,5125
3137,5125
3138,2726
3139,2726
3143,5019
3147,5019
3153,5019
3160,2307
3167,2307
3175,2307
3183,2307
3191,2307
3199,2307
3207,2307
3215,2307
3221,2307
3227,4617
3232,4617
3235,2324
3237,2324
3237,4190
3236,4190
3232,1880
3227,1880
3220,1832
3211,3804
3200,1938
3187,1938
3172,1938
3154,1938
3135,1938
3114,1938
3092,1938
4240,1938
4269,1938
4287,4103
4294,4103
4291,2179
4276,2179
4250,2179
4213,2179
4166,2179
4110,5608
4046,5608
3974,5608
3897,3443
3817,3443
3733,6359
3649,6359
3566,6359
3485,2929
3409,2929
3338,2929
3275,5385
3220,5385
3175,5385
3141,5255
3118,5255
3107,5255
3108,5255
3120,5255
3145,5255
3181,4850
3227,4850
3283,4850
3348,2065
3419,2065
3496,4953
3578,4953
3661,4953
3746,2902
3830,2902
3911,5713
3989,5713
4061,5944
4126,5944
4183,5944
4232,5944
4271,5944
4299,5284
4318,5284
4325,5243
4323,5556
4310,5556
4288,5556
4258,5556
4220,5556
4176,5556
4126,5556
4073,5556
4018,5556
3962,5556
3907,5539
3854,5126
3805,1726
3760,14
3722,14
3690,14
3666,14
3651,14
3645,14
3647,14
3659,14
3679,14
3707,14
3743,14
3785,14
3833,14
3885,14
3940,14
3997,14
4053,14
4109,14
4161,14
4210,14
4252,3406
4288,3406
4317,3406
4336,14
4346,14
4346,14
4336,14
4315,14
4284,14
4244,14
4194,14
4136,14
4070,14
3999,14
3922,14
3842,14
3759,14
3677,14
3595,2120
3516,2120
3441,2120
3371,14
3307,14
3252,14
3205,14
3167,14
3139,14
3121,14
3113,14
3115,14
3127,14
3147,14
3175,14
3210,14
3251,14
3295,3165
3343,3165
3392,3165
3441,5301
3487,5301
3530,5301
3568,5301
3600,5617
3624,5617
3639,5617
3644,5617
3639,5617
3623,3481
3596,3481
3557,3481
3508,6017
3447,6017
3378,6017
3299,5608
3212,5608
3119,5608
3021,5608
2919,5608
2816,5809
2713,5809
2611,5809
2512,4761
2419,4761
2332,4761
2253,4761
2183,5084
2123,5084
2075,5084
2038,3073
2013,3073
2001,5316
2001,5316
2013,2257
2036,2257
2070,3969
2113,3969
2164,1726
2223,1726
2287,1726
2355,1726
2426,3687
2497,3687
2567,1974
2635,1974
2698,1974
2756,3073
2808,3073
2852,3073
2887,3073
2912,3073
2928,2680
2934,2680
2930,2680
2917,2680
2894,2680
2862,2680
2823,14
2777,14
2726,14
2671,2509
2614,2509
2555,2509
2496,2509
2440,2509
2387,2509
2338,14
2295,14
2259,14
2232,14
2213,14
2203,14
2202,14
2212,14
2230,2149
2258,2122
2295,2149
2339,2149
2390,2149
2447,2149
2509,2149
2574,2149
2640,2149
2707,2149
2772,2149
2835,2149
2894,3230
